Symbol,Name,결산월,회계년,주기,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
A002710,TCC스틸,12,2018,Annual,0.83,1.03,0.89,1.06,0.01,0.66,0.99,-0.01
A002710,TCC스틸,12,2019,Annual,1.01,1.18,1.06,1.06,0.01,0.97,0.99,0.06
A002710,TCC스틸,12,2020,Annual,1.17,1.52,1.05,0.99,0.02,1.06,0.96,0.02
A002710,TCC스틸,12,2021,Annual,1.21,0.52,0.78,1.24,0.02,0.96,0.95,0.05
A002710,TCC스틸,12,2022,Annual,0.98,0.79,0.78,1.28,0.03,1.17,1.02,0.11
A192820,코스맥스,12,2011,Annual,,,,,,,,
A192820,코스맥스,12,2012,Annual,,,,,,,,
A192820,코스맥스,12,2013,Annual,,,,,,,,
A192820,코스맥스,12,2014,Annual,,,,,,,,0.07
A192820,코스맥스,12,2015,Annual,0.96,1.02,0.98,1.6,0.0,1.02,1.04,0.1
A192820,코스맥스,12,2016,Annual,0.93,1.06,1.09,1.42,0.01,0.88,0.88,0.04
A192820,코스맥스,12,2017,Annual,1.09,1.23,2.67,1.17,0.01,1.0,1.1,0.04
