Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A060980,HL홀딩스,2010,12,2017,Annual,8.08,-2.38,-31.92,-45.88,98.38,0.94,5.75
A060980,HL홀딩스,2010,12,2018,Annual,3.92,-7.34,-8.99,-69.89,99.27,0.99,2.52
A060980,HL홀딩스,2010,12,2019,Annual,5.95,2.41,30.15,213.35,98.67,0.91,7.36
A060980,HL홀딩스,2010,12,2020,Annual,6.31,0.09,20.32,7.39,121.16,0.83,8.06
A060980,HL홀딩스,2010,12,2021,Annual,13.62,14.38,54.16,140.79,126.22,1.10,15.36
A060980,HL홀딩스,2010,12,2022,Annual,1.28,-0.91,-38.64,-97.66,126.81,1.26,4.34
A035000,HS애드,1999,12,2012,Annual,15.93,7.5,11.44,62.93,221.48,3.07,13.17
A035000,HS애드,1999,12,2013,Annual,14.05,7.47,6.79,1.14,235.81,2.97,12.27
A035000,HS애드,1999,12,2014,Annual,10.72,3.06,-20.42,-23.24,217.79,3.12,9.91
A035000,HS애드,1999,12,2015,Annual,12.17,7.61,7.54,21.65,257.86,3.68,10.94
A035000,HS애드,1999,12,2016,Annual,14.75,8.27,41.87,28.8,247.12,2.90,12.55
A035000,HS애드,1999,12,2017,Annual,12.33,-16.56,0.64,-21.92,395.31,3.74,11.01
A035000,HS애드,1999,12,2018,Annual,17.94,7,28.91,30.91,385.21,4.27,14.74
A035000,HS애드,1999,12,2019,Annual,15.41,9.58,-13.85,-0.11,252.44,3.97,17.05
A035000,HS애드,1999,12,2020,Annual,13.60,1.69,15.45,-40.77,264.94,2.61,12.00
A035000,HS애드,1999,12,2021,Annual,16.11,10.9,-11.97,91.51,250.51,2.99,17.30
A035000,HS애드,1999,12,2022,Annual,14.70,7.92,11.41,4.77,211.71,3.17,17.75
