Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A004890,동일산업,12,2016,Annual,-1.26,525.36,"12,279,523",,"13,434,425",,"325,237,621","75,667,625"
A004890,동일산업,12,2017,Annual,24.54,91.07,"23,461,975",,"23,346,835",,"344,234,459","72,549,101"
A004890,동일산업,12,2018,Annual,3.16,-26.25,"17,303,913",,"15,655,242",,"354,937,419","70,676,344"
A004890,동일산업,12,2019,Annual,-18.10,적전,"-3,497,615",,"1,413,347",,"351,421,008","67,186,484"
A004890,동일산업,12,2020,Annual,-11.94,적지,"-1,359,819",,"6,716,204",,"356,849,495","61,360,188"
A004890,동일산업,12,2021,Annual,43.78,흑전,"39,677,251",,"39,416,565",,"393,853,418","58,238,752"
A004890,동일산업,12,2022,Annual,8.76,-49.36,"20,091,259",,"18,622,026",,"405,700,820","57,639,829"
A035000,HS애드,12,2011,Annual,5.24,40.12,"3,667,532",,"2,425,544",,"98,471,678","906,428"
A035000,HS애드,12,2012,Annual,-12.20,-38.11,"2,269,795",,"4,387,621",,"99,658,526","902,713"
A035000,HS애드,12,2013,Annual,-29.40,적전,"-1,547,191",,"543,221",,"96,607,043","1,166,409"
A035000,HS애드,12,2014,Annual,12.27,적지,"-751,233",,"327,282",,"93,476,022","1,196,511"
A035000,HS애드,12,2015,Annual,87.01,흑전,"2,513,443",,"2,991,641",,"93,343,731","1,269,105"
A035000,HS애드,12,2016,Annual,9.32,-28.47,"1,797,973",,"223,067",,"90,289,437","866,121"
A035000,HS애드,12,2017,Annual,25.45,419.16,"9,334,286",,"9,811,131",,"96,570,130","568,174"
A035000,HS애드,12,2018,Annual,-40.54,-87.53,"1,163,929",,"545,154",,"92,879,525","575,809"
A035000,HS애드,12,2019,Annual,55.45,816.90,"10,672,022",,"-3,211,764",,"85,504,065","680,694"
A035000,HS애드,12,2020,Annual,19.20,66.32,"17,749,457",,"1,982,483",,"82,690,098","628,374"
A035000,HS애드,12,2021,Annual,-39.39,-94.26,"1,018,776",,"3,423,740",,"81,332,361","589,546"
A035000,HS애드,12,2022,Annual,55.51,990.15,"11,106,159",,"9,113,914",,"82,583,464","830,461"
A264900,크라운제과,12,2011,Annual,,,,,,,,
A264900,크라운제과,12,2012,Annual,,,,,,,,
A264900,크라운제과,12,2013,Annual,,,,,,,,
A264900,크라운제과,12,2014,Annual,,,,,,,,
A264900,크라운제과,12,2015,Annual,,,,,,,,
A264900,크라운제과,12,2016,Annual,,,,,,,,
A264900,크라운제과,12,2017,Annual,,,"21,136,111",,"13,667,269",,"120,785,946","204,488,313"
A264900,크라운제과,12,2018,Annual,21.07,-4.16,"20,255,857",,"13,681,175",,"128,181,878","210,717,089"
A264900,크라운제과,12,2019,Annual,-0.49,30.92,"26,519,837",,"18,937,764",,"142,048,233","213,485,018"
A264900,크라운제과,12,2020,Annual,-1.31,-11.57,"23,452,546",,"16,206,197",,"152,673,361","206,854,756"
A264900,크라운제과,12,2021,Annual,-0.09,-32.30,"15,876,289",,"13,098,370",,"160,554,509","159,966,045"
A264900,크라운제과,12,2022,Annual,8.51,10.78,"17,588,318",,"27,057,204",,"192,266,231","160,457,941"
A002460,화성산업,12,2011,Annual,2.16,적지,"-80,770,337",,"-88,406,127",,"212,419,527","42,172,246"
A002460,화성산업,12,2012,Annual,-12.73,흑전,"8,823,467",,"10,120,295",,"222,207,675","59,247,416"
A002460,화성산업,12,2013,Annual,0.40,-10.88,"7,863,854",,"13,799,445",,"237,223,012","44,829,524"
A002460,화성산업,12,2014,Annual,19.28,93.44,"15,211,515",,"23,652,905",,"265,920,361","44,783,445"
A002460,화성산업,12,2015,Annual,14.12,62.30,"24,687,721",,"24,296,685",,"285,946,886","54,664,400"
A002460,화성산업,12,2016,Annual,2.96,77.69,"43,868,369",,"33,665,725",,"312,554,113","55,938,361"
A002460,화성산업,12,2017,Annual,14.90,34.38,"58,952,418",,"44,646,265",,"348,653,647","54,002,401"
A002460,화성산업,12,2018,Annual,-16.34,13.83,"67,108,169",,"49,227,488",,"374,793,429","52,478,949"
A002460,화성산업,12,2019,Annual,-5.01,-55.86,"29,623,444",,"7,672,692",,"370,996,947","52,000,187"
A002460,화성산업,12,2020,Annual,-7.12,44.79,"42,891,401",,"33,207,212",,"393,990,041","51,769,225"
A002460,화성산업,12,2021,Annual,0.71,-29.87,"30,078,205",,"29,873,981",,"416,706,580","57,316,554"
