Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),현금비율,현금및현금성자산(천원),유동부채(천원),매출액(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),단기금융상품(천원)
A214150,클래시스,12,2019,Annual,29.28,,"57,123,146","25,466,833",,"48,442,946",,"33,516,229","25,466,833","80,095,778","25,466,833",44.97,0.63,26.52,22.65,"7,000,000"
A214150,클래시스,12,2020,Annual,11.09,,"82,357,628","13,392,301",,"72,441,488",,"63,776,100","13,392,301","75,857,104","13,392,301",36.49,0.60,-6.74,9.99,"3,240,706"
A214150,클래시스,12,2021,Annual,32.17,,"72,456,920","16,777,058",,"56,014,972",,"42,156,299","16,777,058","100,343,763","16,777,058",37.34,0.52,30.21,24.34,0
A214150,클래시스,12,2022,Annual,44.42,,"147,048,894","36,208,142",,"123,673,928",,"25,358,627","36,208,142","141,442,784","36,208,142",31.48,0.45,50.48,30.76,"65,377,446"
A145020,휴젤,12,2011,Annual,63.21,,"12,081,536","5,264,157",,"10,639,845",,"5,263,375","5,264,157","12,789,795","5,264,157",15.57,0.00,43.31,38.73,0
A145020,휴젤,12,2012,Annual,20.81,,"13,754,447","3,523,811",,"12,533,748",,"2,041,054","3,523,811","15,675,431","3,523,811",35.44,0.00,35.98,17.22,0
A145020,휴젤,12,2013,Annual,188.44,,"38,142,657","3,895,469",,"37,350,213",,"16,133,809","3,895,469","18,558,281","3,895,469",35.03,0.78,80.26,65.33,"10,000,000"
A145020,휴젤,12,2014,Annual,128.72,,"44,548,539","49,947,055",,"43,718,994",,"17,007,389","49,947,055","23,268,542","49,947,055",34.79,0.92,32.87,56.28,"12,281,355"
A145020,휴젤,12,2015,Annual,6.84,,"76,373,022","9,729,420",,"75,358,108",,"66,530,323","9,729,420","23,859,148","9,729,420",27.44,0.74,44.82,6.40,0
A145020,휴젤,12,2016,Annual,5.07,,"82,817,294","7,884,224",,"77,688,668",,"47,402,394","7,884,224","51,911,755","7,884,224",26.40,0.76,69.89,4.82,"10,000,000"
A145020,휴젤,12,2017,Annual,14.42,,"580,158,587","6,589,735",,"573,806,032",,"21,835,822","6,589,735","94,364,854","6,589,735",6.19,0.26,22.82,12.61,"522,000,000"
A145020,휴젤,12,2018,Annual,30.39,,"609,138,459","24,472,450",,"586,160,577",,"18,508,916","24,472,450","161,552,140","24,472,450",5.44,1.68,313.95,23.31,"510,901,551"
A145020,휴젤,12,2019,Annual,32.52,,"548,201,675","53,490,359",,"519,604,436",,"11,367,174","53,490,359","177,690,744","53,490,359",6.66,2.16,3.89,24.54,"466,728,880"
A145020,휴젤,12,2020,Annual,28.38,,"552,590,454","62,842,381",,"530,496,172",,"50,437,516","62,842,381","183,751,299","62,842,381",6.66,2.53,-5.18,22.11,"350,118,543"
A145020,휴젤,12,2021,Annual,24.79,,"457,793,476","72,502,096",,"434,604,660",,"278,108,403","72,502,096","187,842,523","72,502,096",8.76,3.08,-0.97,19.87,"108,979,633"
A145020,휴젤,12,2022,Annual,25.22,,"404,280,394","166,027,229",,"384,073,907",,"108,532,702","166,027,229","223,135,012","166,027,229",12.06,2.70,38.12,20.14,"213,890,170"
A065350,신성델타테크,12,2011,Annual,84.09,,"27,526,189","30,769,854",,"25,241,766",,"5,008,600","30,769,854","158,362,083","30,769,854",47.57,0.40,0.58,45.68,"350,000"
A065350,신성델타테크,12,2012,Annual,84.72,,"33,861,733","51,686,528",,"31,065,266",,"2,664,633","51,686,528","137,704,747","51,686,528",45.19,0.42,8.45,45.86,"300,000"
A065350,신성델타테크,12,2013,Annual,91.41,,"44,030,151","47,860,046",,"40,159,281",,"3,557,792","47,860,046","133,825,533","47,860,046",40.33,0.42,12.77,47.76,"713,980"
A065350,신성델타테크,12,2014,Annual,90.11,,"48,697,408","71,967,668",,"44,337,847",,"995,289","71,967,668","132,740,416","71,967,668",40.17,0.39,4.11,47.40,"300,000"
A065350,신성델타테크,12,2015,Annual,92.38,,"48,552,104","68,427,232",,"44,910,812",,"1,836,365","68,427,232","146,444,010","68,427,232",36.11,0.37,-1.15,48.02,0
A065350,신성델타테크,12,2016,Annual,101.15,,"58,871,490","74,052,432",,"54,203,542",,"6,296,683","74,052,432","150,030,274","74,052,432",35.28,0.29,17.88,50.29,0
A065350,신성델타테크,12,2017,Annual,86.36,,"38,874,533","59,762,039",,"33,344,853",,"3,736,741","59,762,039","175,199,580","59,762,039",40.91,0.31,7.67,46.34,0
