Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A000250,삼천당제약,12,2015,Annual,0.80,,"100,514,070","22,144,163",,"100,514,070","14,544,109",4.25,0.99,9.51,"128,845,255","51,201,980"
A000250,삼천당제약,12,2016,Annual,0.83,,"111,520,809","24,215,880",,"111,520,809","16,134,114",4.26,1.03,10.32,"140,462,889","57,268,928"
A000250,삼천당제약,12,2017,Annual,0.82,,"119,897,117","25,127,133",,"119,897,117","18,083,659",4.12,1.02,10.87,"153,252,942","62,998,926"
A000250,삼천당제약,12,2018,Annual,0.73,,"121,919,884","25,099,791",,"121,919,884","18,612,557",2.89,0.97,11.03,"181,698,218","65,259,669"
A000250,삼천당제약,12,2019,Annual,0.74,,"138,758,402","23,716,218",,"138,758,402","17,970,091",2.37,1.07,12.55,"194,460,076","65,369,457"
A000250,삼천당제약,12,2020,Annual,0.59,,"118,445,264","23,249,660",,"118,445,264","19,737,058",2.10,0.83,10.56,"205,252,009","62,307,304"
A000250,삼천당제약,12,2021,Annual,0.57,,"120,866,914","26,505,822",,"120,866,914","18,915,970",1.84,0.82,10.62,"222,307,930","70,513,655"
A000250,삼천당제약,12,2022,Annual,0.53,,"128,224,115","28,807,744",,"128,224,115","20,927,802",1.29,0.89,11.26,"264,079,682","69,920,481"
A357780,솔브레인,12,2011,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2012,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2013,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2014,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2015,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2016,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2017,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2018,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2019,Annual,,,,,,,,,,,,
A357780,솔브레인,12,2020,Annual,,,"453,415,196","100,142,938",,"453,415,196","50,295,472",,,,"655,784,542","327,335,622"
A357780,솔브레인,12,2021,Annual,1.42,,"980,599,404","113,120,646",,"980,599,404","79,653,176",6.31,1.83,252.13,"726,019,568","749,292,697"
A357780,솔브레인,12,2022,Annual,1.32,,"1,047,568,422","62,421,655",,"1,047,568,422","83,351,259",8.03,1.58,269.35,"861,216,788","789,131,740"
A035900,JYP Ent.,6,2011,Annual,N/A(IFRS),,"10,237,110","668,964",,"10,237,110","69,090",N/A(IFRS),N/A(IFRS),N/A(IFRS),"23,035,657","8,212,570"
A035900,JYP Ent.,12,2012,Annual,0.57,,"13,209,075","2,137,670",,"13,209,075","1,627",1.91,0.82,1.11,"25,528,779","10,375,539"
A035900,JYP Ent.,12,2013,Annual,0.39,,"17,807,586","6,736,593",,"17,807,586","206,089",1.14,0.59,1.22,"66,042,967","11,462,484"
A035900,JYP Ent.,12,2014,Annual,0.65,,"44,326,282","5,568,900",,"44,326,282","378,942",2.35,0.90,2.60,"70,451,683","29,339,947"
A035900,JYP Ent.,12,2015,Annual,0.69,,"48,689,501","5,848,366",,"48,689,501","180,570",3.13,0.88,2.86,"70,750,523","35,248,952"
A035900,JYP Ent.,12,2016,Annual,0.92,,"69,510,893","6,335,976",,"69,510,893","211,397",4.35,1.16,4.08,"80,723,345","46,677,895"
A035900,JYP Ent.,12,2017,Annual,0.97,,"96,761,010","9,955,809",,"96,761,010","340,813",3.58,1.34,5.64,"117,958,630","61,796,531"
A035900,JYP Ent.,12,2018,Annual,0.90,,"118,167,060","12,010,391",,"118,167,060","243,920",3.65,1.19,6.72,"144,849,749","69,068,236"
A035900,JYP Ent.,12,2019,Annual,0.89,,"144,613,992","12,950,284",,"144,613,992","690,989",4.34,1.12,8.08,"180,392,303","78,749,087"
A035900,JYP Ent.,12,2020,Annual,0.70,,"130,009,012","4,652,840",,"130,009,012","445,217",3.89,0.86,7.25,"189,906,055","66,485,526"
A035900,JYP Ent.,12,2021,Annual,0.74,,"165,230,962","12,263,027",,"165,230,962","957,701",3.93,0.92,9.21,"254,033,849","85,021,699"
A035900,JYP Ent.,12,2022,Annual,1.01,,"291,490,221","8,722,204",,"291,490,221","896,138",4.25,1.33,16.24,"321,585,856","170,531,934"
