Symbol,Name,결산월,회계년,주기,총부채(천원)
A012250,셰프라인,12,2013,Annual,"9,373,272"
A012250,셰프라인,12,2014,Annual,"9,954,329"
A012250,셰프라인,12,2015,Annual,"10,209,020"
A012250,셰프라인,12,2016,Annual,"11,642,933"
A012250,셰프라인,12,2017,Annual,"10,847,178"
A012250,셰프라인,12,2018,Annual,"10,567,140"
A012250,셰프라인,12,2019,Annual,"9,323,707"
A012250,셰프라인,12,2020,Annual,"9,450,202"
A012250,셰프라인,12,2021,Annual,"10,245,952"
A012250,셰프라인,12,2022,Annual,"10,119,332"
A012260,이지닷컴,12,2011,Annual,
A012260,이지닷컴,12,2012,Annual,
A012260,이지닷컴,12,2013,Annual,
A012260,이지닷컴,12,2014,Annual,
A012260,이지닷컴,12,2015,Annual,
A012260,이지닷컴,12,2016,Annual,
A012260,이지닷컴,12,2017,Annual,
A012260,이지닷컴,12,2018,Annual,
A012260,이지닷컴,12,2019,Annual,
A012260,이지닷컴,12,2020,Annual,
A012260,이지닷컴,12,2021,Annual,
A012260,이지닷컴,12,2022,Annual,
A012270,동신,12,2011,Annual,
A012270,동신,12,2012,Annual,
A012270,동신,12,2013,Annual,
A012270,동신,12,2014,Annual,
A012270,동신,12,2015,Annual,
A012270,동신,12,2016,Annual,
A012270,동신,12,2017,Annual,
A012270,동신,12,2018,Annual,
A012270,동신,12,2019,Annual,
A012270,동신,12,2020,Annual,
A012270,동신,12,2021,Annual,
A012270,동신,12,2022,Annual,
A012400,허메스홀딩스,12,2011,Annual,"10,633,573"
A012400,허메스홀딩스,12,2012,Annual,
A012400,허메스홀딩스,12,2013,Annual,
A012400,허메스홀딩스,12,2014,Annual,
A012400,허메스홀딩스,12,2015,Annual,
A012400,허메스홀딩스,12,2016,Annual,
A012400,허메스홀딩스,12,2017,Annual,
A012400,허메스홀딩스,12,2018,Annual,
A012400,허메스홀딩스,12,2019,Annual,
A012400,허메스홀딩스,12,2020,Annual,
A012400,허메스홀딩스,12,2021,Annual,
A012400,허메스홀딩스,12,2022,Annual,
A012410,글로스텍,12,2011,Annual,"27,136,531"
A012410,글로스텍,12,2012,Annual,"19,419,182"
A012410,글로스텍,12,2013,Annual,
A012410,글로스텍,12,2014,Annual,
A012410,글로스텍,12,2015,Annual,
A012410,글로스텍,12,2016,Annual,
A012410,글로스텍,12,2017,Annual,
A012410,글로스텍,12,2018,Annual,
A012410,글로스텍,12,2019,Annual,
A012410,글로스텍,12,2020,Annual,
A012410,글로스텍,12,2021,Annual,
A012410,글로스텍,12,2022,Annual,
A012470,영진테크,12,2011,Annual,
A012470,영진테크,12,2012,Annual,
A012470,영진테크,12,2013,Annual,
A012470,영진테크,12,2014,Annual,
A012470,영진테크,12,2015,Annual,
A012470,영진테크,12,2016,Annual,
A012470,영진테크,12,2017,Annual,
A012470,영진테크,12,2018,Annual,
A012470,영진테크,12,2019,Annual,
A012470,영진테크,12,2020,Annual,
A012470,영진테크,12,2021,Annual,
A012470,영진테크,12,2022,Annual,
A012720,건영,12,2011,Annual,"499,568,500"
A012720,건영,12,2012,Annual,"389,661,475"
A012720,건영,12,2013,Annual,"395,726,130"
A012720,건영,12,2014,Annual,"421,742,567"
A012720,건영,12,2015,Annual,"236,074,982"
A012720,건영,12,2016,Annual,"273,682,317"
A012720,건영,12,2017,Annual,"81,976,443"
A012720,건영,12,2018,Annual,"99,888,584"
A012720,건영,12,2019,Annual,"60,540,237"
A012720,건영,12,2020,Annual,"139,936,108"
A012720,건영,12,2021,Annual,"208,924,404"
A012720,건영,12,2022,Annual,"355,252,874"
A012830,현대리바트,12,2011,Annual,
A012830,현대리바트,12,2012,Annual,
A012830,현대리바트,12,2013,Annual,
A012830,현대리바트,12,2014,Annual,
A012830,현대리바트,12,2015,Annual,
A012830,현대리바트,12,2016,Annual,
A012830,현대리바트,12,2017,Annual,
A012830,현대리바트,12,2018,Annual,
A012830,현대리바트,12,2019,Annual,
A012830,현대리바트,12,2020,Annual,
A012830,현대리바트,12,2021,Annual,
A012830,현대리바트,12,2022,Annual,
A012910,한라시멘트,12,2011,Annual,
A012910,한라시멘트,12,2012,Annual,
A012910,한라시멘트,12,2013,Annual,
A012910,한라시멘트,12,2014,Annual,
A012910,한라시멘트,12,2015,Annual,
A012910,한라시멘트,12,2016,Annual,
A012910,한라시멘트,12,2017,Annual,
A012910,한라시멘트,12,2018,Annual,
A012910,한라시멘트,12,2019,Annual,
A012910,한라시멘트,12,2020,Annual,
A012910,한라시멘트,12,2021,Annual,
A012910,한라시멘트,12,2022,Annual,
A012990,LG석유화학,12,2011,Annual,
A012990,LG석유화학,12,2012,Annual,
A012990,LG석유화학,12,2013,Annual,
A012990,LG석유화학,12,2014,Annual,
A012990,LG석유화학,12,2015,Annual,
A012990,LG석유화학,12,2016,Annual,
A012990,LG석유화학,12,2017,Annual,
A012990,LG석유화학,12,2018,Annual,
A012990,LG석유화학,12,2019,Annual,
A012990,LG석유화학,12,2020,Annual,
A012990,LG석유화학,12,2021,Annual,
A012990,LG석유화학,12,2022,Annual,
A013040,금강피혁,12,2011,Annual,
A013040,금강피혁,12,2012,Annual,
A013040,금강피혁,12,2013,Annual,
A013040,금강피혁,12,2014,Annual,
A013040,금강피혁,12,2015,Annual,
A013040,금강피혁,12,2016,Annual,
A013040,금강피혁,12,2017,Annual,
A013040,금강피혁,12,2018,Annual,
A013040,금강피혁,12,2019,Annual,
A013040,금강피혁,12,2020,Annual,
A013040,금강피혁,12,2021,Annual,
A013040,금강피혁,12,2022,Annual,
A013070,태양이앤테크,12,2011,Annual,
A013070,태양이앤테크,12,2012,Annual,
A013070,태양이앤테크,12,2013,Annual,
A013070,태양이앤테크,12,2014,Annual,
A013070,태양이앤테크,12,2015,Annual,
A013070,태양이앤테크,12,2016,Annual,
A013070,태양이앤테크,12,2017,Annual,
A013070,태양이앤테크,12,2018,Annual,
A013070,태양이앤테크,12,2019,Annual,
A013070,태양이앤테크,12,2020,Annual,
A013070,태양이앤테크,12,2021,Annual,
A013070,태양이앤테크,12,2022,Annual,
A013200,C&우방,12,2011,Annual,
A013200,C&우방,12,2012,Annual,
A013200,C&우방,12,2013,Annual,
A013200,C&우방,12,2014,Annual,
A013200,C&우방,12,2015,Annual,
A013200,C&우방,12,2016,Annual,
A013200,C&우방,12,2017,Annual,
A013200,C&우방,12,2018,Annual,
A013200,C&우방,12,2019,Annual,
A013200,C&우방,12,2020,Annual,
A013200,C&우방,12,2021,Annual,
A013200,C&우방,12,2022,Annual,
A013240,셀런,12,2011,Annual,
