Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A009150,삼성전기,12,2017,Annual,"4,331,491,386","3,435,912,157"
A009150,삼성전기,12,2018,Annual,"4,946,497,556","3,698,416,650"
A009150,삼성전기,12,2019,Annual,"5,430,096,886","3,244,151,344"
A009150,삼성전기,12,2020,Annual,"5,910,395,940","3,315,102,537"
A009150,삼성전기,12,2021,Annual,"6,871,125,643","3,070,248,396"
A009150,삼성전기,12,2022,Annual,"7,693,484,679","3,303,686,219"
A018260,삼성에스디에스,12,2011,Annual,"2,935,361,868","1,128,513,003"
A018260,삼성에스디에스,12,2012,Annual,"3,244,939,961","1,220,467,218"
A018260,삼성에스디에스,12,2013,Annual,"3,883,379,502","1,416,720,293"
A018260,삼성에스디에스,12,2014,Annual,"4,214,024,629","1,332,020,531"
A018260,삼성에스디에스,12,2015,Annual,"4,776,851,778","1,554,827,346"
A018260,삼성에스디에스,12,2016,Annual,"5,291,124,095","1,550,879,764"
A018260,삼성에스디에스,12,2017,Annual,"5,719,429,437","1,558,331,443"
A018260,삼성에스디에스,12,2018,Annual,"6,148,552,184","1,865,297,206"
A018260,삼성에스디에스,12,2019,Annual,"6,725,157,089","2,296,078,794"
A018260,삼성에스디에스,12,2020,Annual,"6,859,108,164","2,295,810,891"
A018260,삼성에스디에스,12,2021,Annual,"7,443,700,632","3,073,731,543"
A018260,삼성에스디에스,12,2022,Annual,"8,466,969,935","3,485,454,955"
A259960,크래프톤,12,2011,Annual,"-26,905,084","51,174,262"
A259960,크래프톤,12,2012,Annual,"-36,174,003","68,715,929"
A259960,크래프톤,12,2013,Annual,"-22,267,347","58,697,717"
A259960,크래프톤,12,2014,Annual,"-22,911,753","59,728,860"
A259960,크래프톤,12,2015,Annual,"13,901,517","70,904,685"
A259960,크래프톤,12,2016,Annual,"-8,096,995","73,964,748"
A259960,크래프톤,12,2017,Annual,"-1,065,680,550","1,661,162,481"
A259960,크래프톤,12,2018,Annual,"-22,245,340","641,304,921"
A259960,크래프톤,12,2019,Annual,"584,405,058","405,651,314"
A259960,크래프톤,12,2020,Annual,"1,214,095,694","505,010,038"
A259960,크래프톤,12,2021,Annual,"4,608,244,309","1,109,583,259"
A259960,크래프톤,12,2022,Annual,"5,116,405,100","921,378,866"
A033780,KT&G,12,2011,Annual,"4,850,117,323","1,309,086,696"
A033780,KT&G,12,2012,Annual,"5,154,754,941","1,558,557,728"
A033780,KT&G,12,2013,Annual,"5,324,177,197","1,678,463,451"
A033780,KT&G,12,2014,Annual,"5,653,155,406","1,663,989,141"
A033780,KT&G,12,2015,Annual,"6,234,846,929","2,351,662,594"
A033780,KT&G,12,2016,Annual,"7,054,393,552","2,675,026,654"
A033780,KT&G,12,2017,Annual,"7,860,184,135","2,160,131,492"
A033780,KT&G,12,2018,Annual,"8,168,203,816","2,029,666,601"
A033780,KT&G,12,2019,Annual,"8,739,585,488","2,012,853,968"
