Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A035720,카카오,12,2021,Annual,0.430890061,5910512881,13716985881
A035720,카카오,12,2022,Annual,0.470465626,6798741511,14451090877
A003670,포스코퓨처엠,12,2011,Annual,9.705728321,1188580252,122461727
A003670,포스코퓨처엠,12,2012,Annual,7.59407377,1295651171,170613456
A003670,포스코퓨처엠,12,2013,Annual,4.476089743,1329930525,297118825
A003670,포스코퓨처엠,12,2014,Annual,4.132412152,1371066436,331783565
A003670,포스코퓨처엠,12,2015,Annual,3.700047093,1221228001,330057421
A003670,포스코퓨처엠,12,2016,Annual,3.686220516,1117704662,303211557
A003670,포스코퓨처엠,12,2017,Annual,3.256986437,1197158861,367566425
A003670,포스코퓨처엠,12,2018,Annual,2.72530907,1383593537,507683166
A003670,포스코퓨처엠,12,2019,Annual,1.373239783,1483769012,1080487931
A003670,포스코퓨처엠,12,2020,Annual,1.226071227,1566235713,1277442679
A003670,포스코퓨처엠,12,2021,Annual,1.082300964,1989542182,1838252250
A003670,포스코퓨처엠,12,2022,Annual,1.269988295,3301915805,2599957668
A032830,삼성생명,3,2011,Annual,,14726219000,
A032830,삼성생명,3,2012,Annual,,22051300000,
A032830,삼성생명,12,2013,Annual,,12567384000,
A032830,삼성생명,12,2014,Annual,,17461627000,
A032830,삼성생명,12,2015,Annual,,17354147000,
A032830,삼성생명,12,2016,Annual,,16768276000,
A032830,삼성생명,12,2017,Annual,,16645815000,
A032830,삼성생명,12,2018,Annual,,16134974000,
A032830,삼성생명,12,2019,Annual,,16201074000,
A032830,삼성생명,12,2020,Annual,,17740060000,
A032830,삼성생명,12,2021,Annual,,17635731000,
A032830,삼성생명,12,2022,Annual,,13188046000,
A086790,하나금융지주,12,2011,Annual,,7855953000,
A086790,하나금융지주,12,2012,Annual,,11433226000,
A086790,하나금융지주,12,2013,Annual,,10534899000,
A086790,하나금융지주,12,2014,Annual,,10092874000,
A086790,하나금융지주,12,2015,Annual,,9037902000,
A086790,하나금융지주,12,2016,Annual,,8381809000,
A086790,하나금융지주,12,2017,Annual,,8932396000,
A086790,하나금융지주,12,2018,Annual,,10340924000,
A086790,하나금융지주,12,2019,Annual,,11118155000,
A086790,하나금융지주,12,2020,Annual,,10705196000,
A086790,하나금융지주,12,2021,Annual,,10867491000,
A086790,하나금융지주,12,2022,Annual,,15984691000,
A138040,메리츠금융지주,3,2011,Annual,,121827686,
A138040,메리츠금융지주,3,2012,Annual,,554927202,
A138040,메리츠금융지주,12,2013,Annual,,462811602,
A138040,메리츠금융지주,12,2014,Annual,,794829095,
A138040,메리츠금융지주,12,2015,Annual,,936644179,
A138040,메리츠금융지주,12,2016,Annual,,1113674881,
A138040,메리츠금융지주,12,2017,Annual,,1235556220,
A138040,메리츠금융지주,12,2018,Annual,,1563187134,
A138040,메리츠금융지주,12,2019,Annual,,1831620772,
A138040,메리츠금융지주,12,2020,Annual,,1824465140,
A138040,메리츠금융지주,12,2021,Annual,,1912498271,
A138040,메리츠금융지주,12,2022,Annual,,2941244725,
A066570,LG전자,12,2011,Annual,3.215141973,54256585000,16875331000
A066570,LG전자,12,2012,Annual,2.986443427,55122623000,18457615000
A066570,LG전자,12,2013,Annual,2.956427863,56772302000,19203006000
A066570,LG전자,12,2014,Annual,3.014479987,59040767000,19585722000
A066570,LG전자,12,2015,Annual,2.837327025,56509008000,19916283000
A066570,LG전자,12,2016,Annual,2.653621527,55367033000,20864706000
A066570,LG전자,12,2017,Annual,2.787447193,61396284000,22025990000
A066570,LG전자,12,2018,Annual,2.45704854,61341664000,24965589000
A066570,LG전자,12,2019,Annual,2.481685937,62306175000,25106390000
A066570,LG전자,12,2020,Annual,2.3255901,58057908000,24964807000
A066570,LG전자,12,2021,Annual,2.843302083,73907984000,25993715000
A066570,LG전자,12,2022,Annual,3.016755113,83467318000,27667913000
A000810,삼성화재,3,2011,Annual,,14873987871,
A000810,삼성화재,3,2012,Annual,,16916277086,
A000810,삼성화재,12,2013,Annual,,13244524841,
A000810,삼성화재,12,2014,Annual,,17906274322,
A000810,삼성화재,12,2015,Annual,,18346359170,
A000810,삼성화재,12,2016,Annual,,18665153398,
A000810,삼성화재,12,2017,Annual,,18668368346,
A000810,삼성화재,12,2018,Annual,,18734623029,
A000810,삼성화재,12,2019,Annual,,19347356745,
A000810,삼성화재,12,2020,Annual,,20013295764,
A000810,삼성화재,12,2021,Annual,,20106066001,
A000810,삼성화재,12,2022,Annual,,15448301746,
A015760,한국전력,12,2011,Annual,0.354161123,43455675000,1.23E+11
A015760,한국전력,12,2012,Annual,0.373784305,49421513000,1.32E+11
A015760,한국전력,12,2013,Annual,0.385273541,54037795000,1.40E+11
A015760,한국전력,12,2014,Annual,0.391282563,57474883000,1.47E+11
