Symbol,Name,결산월,회계년,주기,총자본(천원)
A009150,삼성전기,12,2022,Annual,"7,693,484,679"
A018260,삼성에스디에스,12,2011,Annual,"2,935,361,868"
A018260,삼성에스디에스,12,2012,Annual,"3,244,939,961"
A018260,삼성에스디에스,12,2013,Annual,"3,883,379,502"
A018260,삼성에스디에스,12,2014,Annual,"4,214,024,629"
A018260,삼성에스디에스,12,2015,Annual,"4,776,851,778"
A018260,삼성에스디에스,12,2016,Annual,"5,291,124,095"
A018260,삼성에스디에스,12,2017,Annual,"5,719,429,437"
A018260,삼성에스디에스,12,2018,Annual,"6,148,552,184"
A018260,삼성에스디에스,12,2019,Annual,"6,725,157,089"
A018260,삼성에스디에스,12,2020,Annual,"6,859,108,164"
A018260,삼성에스디에스,12,2021,Annual,"7,443,700,632"
A018260,삼성에스디에스,12,2022,Annual,"8,466,969,935"
A259960,크래프톤,12,2011,Annual,"-26,905,084"
A259960,크래프톤,12,2012,Annual,"-36,174,003"
A259960,크래프톤,12,2013,Annual,"-22,267,347"
A259960,크래프톤,12,2014,Annual,"-22,911,753"
A259960,크래프톤,12,2015,Annual,"13,901,517"
A259960,크래프톤,12,2016,Annual,"-8,096,995"
A259960,크래프톤,12,2017,Annual,"-1,065,680,550"
A259960,크래프톤,12,2018,Annual,"-22,245,340"
A259960,크래프톤,12,2019,Annual,"584,405,058"
A259960,크래프톤,12,2020,Annual,"1,214,095,694"
A259960,크래프톤,12,2021,Annual,"4,608,244,309"
A259960,크래프톤,12,2022,Annual,"5,116,405,100"
A033780,KT&G,12,2011,Annual,"4,850,117,323"
A033780,KT&G,12,2012,Annual,"5,154,754,941"
A033780,KT&G,12,2013,Annual,"5,324,177,197"
A033780,KT&G,12,2014,Annual,"5,653,155,406"
A033780,KT&G,12,2015,Annual,"6,234,846,929"
A033780,KT&G,12,2016,Annual,"7,054,393,552"
A033780,KT&G,12,2017,Annual,"7,860,184,135"
A033780,KT&G,12,2018,Annual,"8,168,203,816"
A033780,KT&G,12,2019,Annual,"8,739,585,488"
A033780,KT&G,12,2020,Annual,"9,091,571,656"
A033780,KT&G,12,2021,Annual,"9,208,862,153"
A033780,KT&G,12,2022,Annual,"9,358,580,000"
A012450,한화에어로스페이스,12,2011,Annual,"1,593,750,589"
A012450,한화에어로스페이스,12,2012,Annual,"1,577,675,154"
A012450,한화에어로스페이스,12,2013,Annual,"1,704,780,602"
A012450,한화에어로스페이스,12,2014,Annual,"1,643,052,110"
A012450,한화에어로스페이스,12,2015,Annual,"2,245,115,520"
A012450,한화에어로스페이스,12,2016,Annual,"2,340,764,615"
