Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),영업이익(천원),이자비용(천원),현금및현금성자산구성비율(%),유동자산(천원),유동부채(천원),당좌자산(천원)
A005290,동진쎄미켐,12,2016,Annual,48.65,2.96,10.19,70.05,233.93,"45,404,003",0,9.41,"264,793,797","404,329,737","200,391,069"
A005290,동진쎄미켐,12,2017,Annual,45.83,2.60,9.66,59.89,149.32,"71,904,939",0,10.94,"302,835,745","338,250,009","232,603,581"
A005290,동진쎄미켐,12,2018,Annual,42.71,1.89,9.91,59.77,148.60,"70,984,303",0,11.29,"363,608,168","355,804,658","273,040,705"
A005290,동진쎄미켐,12,2019,Annual,41.82,2.39,9.32,57.14,133.30,"104,867,455",0,13.61,"410,640,427","433,155,784","323,068,900"
A005290,동진쎄미켐,12,2020,Annual,38.87,2.14,9.90,54.41,119.35,"126,257,657",0,20.95,"527,429,646","398,740,980","427,002,596"
A005290,동진쎄미켐,12,2021,Annual,37.80,0.71,9.33,52.70,111.43,"131,814,934",0,19.49,"690,201,851","458,726,305","531,744,447"
A005290,동진쎄미켐,12,2022,Annual,36.11,0.61,8.27,49.01,96.11,"216,308,703",0,20.41,"826,408,328","531,371,592","621,114,452"
A214150,클래시스,12,2011,Annual,,,,,,,,,,,
A214150,클래시스,12,2012,Annual,2.47,0.00,59.62,104.35,완전잠식,"-102,995",0,0.03,"1,225,821","1,354,649","1,094,692"
A214150,클래시스,12,2013,Annual,,,,,,,,,,,
A214150,클래시스,12,2014,Annual,,,,,,,,,,,
A214150,클래시스,12,2015,Annual,3.95,0.23,48.77,25.91,34.97,"3,976,572","1,096",53.82,"10,023,546","3,130,933","8,355,252"
A214150,클래시스,12,2016,Annual,2.48,0.15,37.91,25.92,34.98,"8,264,985",369,54.61,"18,399,976","5,519,169","14,407,599"
A214150,클래시스,12,2017,Annual,50.73,0.15,38.33,44.44,79.99,"10,802,378","125,895",30.43,"27,683,050","14,413,164","22,593,878"
A214150,클래시스,12,2018,Annual,60.86,0.20,36.37,32.55,48.26,"17,476,490","436,828",13.84,"26,596,474","14,824,976","20,689,871"
A214150,클래시스,12,2019,Annual,44.94,0.63,27.36,22.65,29.28,"41,709,475","274,170",29.89,"57,647,142","25,487,018","48,924,408"
A214150,클래시스,12,2020,Annual,36.43,0.60,26.62,10.01,11.13,"40,608,569","168,907",46.82,"83,012,389","13,449,683","73,072,094"
A214150,클래시스,12,2021,Annual,37.30,0.52,25.98,24.33,32.14,"51,712,720","93,054",19.77,"73,140,021","16,793,038","56,674,657"
A214150,클래시스,12,2022,Annual,31.45,0.45,27.71,30.73,44.37,"68,876,207","2,609,848",7.85,"147,788,691","36,225,225","124,391,024"
A035900,JYP Ent.,6,2011,Annual,0.43,1.43,15.27,20.04,25.06,"461,078",0,48.88,"18,647,672","4,616,669","18,578,581"
A035900,JYP Ent.,12,2012,Annual,4.29,0.86,66.98,42.62,74.27,"-6,527,263","108,552",28.97,"19,450,011","5,724,393","19,405,757"
A035900,JYP Ent.,12,2013,Annual,1.55,42.22,50.79,32.32,47.75,"-2,553,317","578,610",15.80,"29,155,164","15,055,611","28,664,253"
A035900,JYP Ent.,12,2014,Annual,1.05,42.03,20.74,24.27,32.05,"8,256,638","535,759",20.77,"31,549,847","17,872,265","30,795,350"
A035900,JYP Ent.,12,2015,Annual,0.69,44.66,22.64,20.62,25.97,"4,198,535","595,163",17.36,"29,998,338","15,213,440","29,070,876"
A035900,JYP Ent.,12,2016,Annual,0.29,35.78,18.35,22.56,29.13,"13,811,808",0,28.69,"43,960,719","18,538,428","42,587,857"
A035900,JYP Ent.,12,2017,Annual,19.88,23.41,19.38,31.08,45.09,"19,462,607",0,20.38,"58,395,470","34,823,350","56,741,684"
A035900,JYP Ent.,12,2018,Annual,22.94,18.27,21.96,19.69,24.52,"28,748,634",0,28.21,"82,595,694","30,512,694","81,113,915"
A035900,JYP Ent.,12,2019,Annual,18.66,13.97,20.99,21.89,28.02,"43,458,525","49,145",18.60,"116,257,543","43,149,750","115,566,554"
A035900,JYP Ent.,12,2020,Annual,18.11,13.77,22.69,16.84,20.24,"44,136,483","93,526",15.42,"126,952,971","33,334,304","126,504,688"
A035900,JYP Ent.,12,2021,Annual,12.06,9.31,23.85,21.03,26.64,"57,903,761","37,574",15.48,"159,186,900","58,331,683","157,753,406"
A035900,JYP Ent.,12,2022,Annual,9.19,10.10,17.33,25.93,35.02,"96,631,540","90,358",33.97,"237,105,821","101,383,995","234,708,516"
A145020,휴젤,12,2011,Annual,16.15,0.16,29.32,40.25,67.37,"8,527,335","521,963",33.72,"12,652,203","5,625,648","10,999,067"
